Datei,Cluster
quantum_log_Ethik und Moral_act_nq4_20250418035827_2f66.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035750_b96f.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035803_a104.json,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035753_6457.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035801_4ef4.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035754_7e91.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035816_5fbe.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035815_c785.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035819_6ab7.json,2
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_257e.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035807_5843.json,2
quantum_log_Meta Cognitio_act_nq4_20250418035829_f642.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035810_512e.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035822_c558.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035813_86f5.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035821_4ea9.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035816_4d8c.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035804_ab8b.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035754_4a8f.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035757_b472.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035805_861f.json,2
quantum_log_Ethik und Moral_act_nq4_20250418035750_b5ed.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035832_a778.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035833_1f9a.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035828_f4b6.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035825_9f34.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035823_7e91.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035825_6d76.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035831_c92c.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035826_5e5e.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035751_0f4d.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035753_907d.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035748_5388.json,2
quantum_log_Cortex Socialis_act_nq4_20250418035746_df35.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035814_d2c7.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035816_32e7.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035816_d23e.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035821_a61e.json,2
quantum_log_Cortex Criticus_act_nq4_20250418035808_1424.json,2
quantum_log_Limbus Affektus_act_nq4_20250418035750_47b1.json,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035816_6d84.json,2
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035826_9f1a.json,2
quantum_log_Meta Cognitio_act_nq4_20250418035826_516a.json,2
quantum_log_Limbus Affektus_act_nq4_20250418035801_c818.json,2
quantum_log_Synergien und Integration_act_nq4_20250418035823_2ef6.json,2
quantum_log_Simulatrix Neuralis_act_nq4_20250418035820_07ea.json,2
quantum_log_Limbus Affektus_act_nq4_20250418035804_fe18.json,2
