Datei 1,Datei 2,Distanz
quantum_log_Ethik und Moral_act_nq4_20250418035825_0741.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035823_8645.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035825_1151.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035759_ea5a.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035828_f7c7.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.7321
quantum_log_Ethik und Moral_act_nq4_20250418035832_00b2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035756_c1b3.json,quantum_log_Meta Cognitio_act_nq4_20250418035751_da05.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035803_a104.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035806_c729.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035804_c245.json,quantum_log_Wirtschaft und Sicherheit_act_nq4_20250418035817_12e4.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035805_330a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_a5ca.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035810_e17a.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035757_9b3e.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035813_a8bb.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035817_70f9.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_3a6e.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035824_2c5d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035826_e716.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_91b6.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Forschungspolitik und Finanzierung_act_nq4_20250418035827_91b6.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035755_e6f9.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_1dcd.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_3a6e.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035746_27d2.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_fd14.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035751_9a38.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035747_5f2d.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_1622.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035748_8921.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_3a6a.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_3273.json,1.7321
quantum_log_Simulatrix Neuralis_act_nq4_20250418035755_2d1e.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035801_85c9.json,1.7321
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035749_a837.json,quantum_log_Cortex Socialis_act_nq4_20250418035750_2e4f.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035749_a837.json,quantum_log_Cortex Socialis_act_nq4_20250418035756_3b1f.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035755_789e.json,quantum_log_Cortex Criticus_act_nq4_20250418035746_5534.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Ethik und Moral_act_nq4_20250418035821_2fc7.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035749_0980.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035750_c5b2.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035752_fd14.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035757_7c75.json,quantum_log_Simulatrix Neuralis_act_nq4_20250418035756_5563.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035759_7719.json,quantum_log_Ethik und Moral_act_nq4_20250418035809_aba3.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035803_cdf1.json,quantum_log_Cortex Creativus_act_nq4_20250418035756_9f3a.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035806_d813.json,quantum_log_Cortex Criticus_act_nq4_20250418035828_3210.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035810_39b4.json,quantum_log_Cortex Criticus_act_nq4_20250418035821_a61e.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035813_7fe0.json,quantum_log_Cortex Criticus_act_nq4_20250418035751_baed.json,2.0000
quantum_log_Bildung und Wissensvermittlung_act_nq4_20250418035814_4d8e.json,quantum_log_Ethik und Moral_act_nq4_20250418035805_861f.json,2.0000
